COUNTY,Retailer Commission,Prizes Paid,HOPE Students to Date,hopeDollars,PreK Students To Date,PreK Dollars To Date,*Outlay/Technology fy94-01,TOTAL RETURNED TO EDUCATION,sales,TOTAL RETURNED To Date,id,hopeRank,salesRank,hopeStudentRank
COBB ,144746633,1146541396,103671,573872388,64083,227605859,80005327,881483574,2288494399,2172771603,23,2,3,1
FULTON ,355590706,4138548213,96243,543393710,94836,330392148,124039114,997824972,5231948398,5491963891,89,3,1,2
GWINNETT ,136025244,1116767307,94108,627698760,100745,354475040,101816296,1083990096,2163320207,2336782646,71,1,4,3
DEKALB ,245875772,1851426939,73306,361047717,79075,284673506,52548716,698269939,3736825269,2795572649,137,4,2,4
RICHMOND ,118505348,958055154,40109,156240727,29984,112511529,24320496,293072752,1801046935,1369633254,64,7,7,5
MUSCOGEE ,124941221,1039263714,40082,136515812,28550,106982235,10614247,254112294,1896701249,1418317229,116,9,5,6
BIBB ,84512502,692512649,39900,136035754,17233,60914427,8934490,205884671,1257956690,982909822,104,10,9,7
CHATHAM,119876407,936069716,39897,156413495,30365,108953504,14541210,279908209,1807625683,1335854331,34,6,6,8
HOUSTON ,38699848,308738234,34433,117069696,19287,69462971,12365350,198898017,598123901,546336098,95,14,16,9
CLAYTON ,105693418,832501937,32633,134718196,34857,120289166,19454231,274461593,1620682192,1212656948,32,11,8,10
LOWNDES ,36008334,304288417,29839,104645154,12519,46095356,8578382,159318892,559993362,499615643,81,15,20,11
DOUGHERTY,67640943,572239016,28396,88386659,13533,48102063,7188269,143676991,1025225499,783556950,115,17,10,12
HENRY ,47568265,379359310,26043,125748950,18137,60163943,20616522,206529415,738152177,633456991,41,13,13,13
CHEROKEE ,34037400,287088322,25792,137097712,20362,74777187,16668364,228543263,540525184,549668984,145,8,22,14
CLARKE ,36901102,301661311,24074,177054944,12550,49384356,16450022,242889322,560159403,581451735,17,5,19,15
HALL ,49879587,475345069,23573,101762017,17836,60782599,15543746,178088362,769935060,703313017,100,16,11,16
FLOYD ,38653171,323095600,21750,69517458,12637,46850805,7922967,124291230,602509442,486040000,138,22,15,17
CARROLL ,36061944,300544465,21662,86987018,15812,62785170,6145435,155917623,560222280,492524031,19,18,18,18
DOUGLAS ,39845851,326857821,19276,79784881,15418,55018025,9421054,144223960,625670195,510927632,119,19,14,19
FAYETTE,20914105,162484479,19036,133941977,8721,30720534,13531629,178194140,330649680,361592724,5,12,35,20
COWETA ,35585394,289954173,17662,79353828,15185,55259456,11506175,146119459,550035093,471659025,120,20,21,21
BULLOCH ,16114595,133540560,16241,67092540,7177,25997055,6357868,99447463,248860019,249102617,111,23,44,22
BARTOW ,29641953,254765419,16226,59827733,10836,40106991,6505556,106440280,465880725,390847652,58,25,26,23
TROUP,49787137,393170960,15439,47520326,9573,36467686,4053403,88041415,762660039,530999512,85,31,12,24
WALKER,30521792,249857325,14773,40401471,5368,20320300,4097202,64818973,484519124,345198089,27,35,23,25
